question_no,question,answer,images,has_images
18,Check the image version in pod without the describe command,"kubectl get po nginx -o
jsonpath='{.spec.containers[].image}{""\n""}'",,False
19,"Print pod name and start time to ""/opt/pod-status"" file","kubect1 get pods -o=jsonpath='{range
.items[*]}{.metadata.name}{""\t""}{.status.podIP}{""\n""}{end}'",answer_19_img_1.png,True
20,"From the pod label name=cpu-utilizer, find pods running high CPU workloads and write the
name of the pod consuming most CPU to the file /opt/KUTR00401/KUTR00401.txt (which
already exists).","kubectl top -l name=cpu-user -A
echo 'pod name' >> /opt/KUT00401/KUT00401.txt",,False
21,"16
First, create a snapshot of the existing etcd instance running at https://127.0.0.1:2379, saving
the snapshot to /srv/data/etcd-snapshot.db.
Next, restore an existing, previous snapshot located at /var/lib/backup/etcd-snapshot-previo
us.db
17","#backup
ETCDCTL_API=3 etcdctl --endpoints=""https://127.0.0.1:2379""
--cacert=/opt/KUIN000601/ca.crt --cert=/opt/KUIN000601/etcd-client.crt
--key=/opt/KUIN000601/etcd-client.key snapshot save /etc/data/etcd-snapshot.db
#restore
ETCDCTL_API=3 etcdctl --endpoints=""https://127.0.0.1:2379""
--cacert=/opt/KUIN000601/ca.crt --cert=/opt/KUIN000601/etcd-client.crt
--key=/opt/KUIN000601/etcd-client.key snapshot restore
/var/lib/backup/etcd-snapshot-previoys.db","question_21_img_1.png, question_21_img_2.png, answer_21_img_1.png",True
22,"Create a snapshot of the etcd instance running at https://127.0.0.1:2379, saving the snapshot
to the file path /srv/data/etcd-snapshot.db.
The following TLS certificates/key are supplied for connecting to the server with etcdctl:
CA certificate: /opt/KUCM00302/ca.crt
Client certificate: /opt/KUCM00302/etcd-client.crt
Client key: Topt/KUCM00302/etcd-client.key",18,,False
23,"Get IP address of the pod - ""nginx-dev""","Kubect1 get po -o wide
Using JsonPath
kubect1 get pods -o=jsonpath='{range
.items[*]}{.metadata.name}{""\t""}{.status.podIP}{""\n""}{end}'",question_23_img_1.png,True
24,List all the pods sorted by name,kubect1 get pods --sort-by=.metadata.name,answer_24_img_1.png,True
25,"19
Given an existing Kubernetes cluster running version 1.20.0, upgrade all of the Kubernetes
control plane and node components on the master node only to version 1.20.1.
Be sure to drain the master node before upgrading it and uncordon it after the upgrade.
You are also expected to upgrade kubelet and kubectl on the master node.","[student@node-1] > ssh ek8s
kubectl cordon k8s-master
kubectl drain k8s-master --delete-local-data --ignore-daemonsets --force apt-get install
kubeadm=1.20.1-00 kubelet=1.20.1-00 kubectl=1.20.1-00 --disableexcludes=kubernetes
kubeadm upgrade apply 1.20.1 --etcd-upgrade=false systemctl daemon-reload systemctl
restart kubelet kubectl uncordon k8s-master","question_25_img_1.png, answer_25_img_1.png",True
26,List the nginx pod with custom columns POD_NAME and POD_STATUS,"kubectl get po -o=custom-columns=""POD_NAME:.metadata.name,
POD_STATUS:.status.containerStatuses[].state""
20",,False
27,List all the pods sorted by created timestamp,kubect1 get pods--sort-by=.metadata.creationTimestamp,,False
28,"Check to see how many nodes are ready (not including nodes tainted NoSchedule ) and
write the number to /opt/KUSC00402/kusc00402.txt.","kubectl describe nodes | grep ready|wc -l
kubectl describe nodes | grep -i taint | grep -i noschedule |wc -l
echo 3 > /opt/KUSC00402/kusc00402.txt
#
kubectl get node | grep -i ready |wc -l
# taints、noSchedule
kubectl describe nodes | grep -i taints | grep -i noschedule |wc -l
#
echo 2 > /opt/KUSC00402/kusc00402.txt",question_28_img_1.png,True
29,"Get list of all pods in all namespaces and write it to file ""/opt/pods-list.yaml""",kubectl get po -all-namespaces > /opt/pods-list.yaml,,False
30,"21
Create a new nginx Ingress resource as follows:
* Name: ping
* Namespace: ing-internal
* Exposing service hi on path /hi using service port 5678","vi ingress.yaml
#
apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
name: ping
namespace: ing-internal
spec:
rules:
- http:
paths:
- path: /hi
pathType: Prefix
backend:
service:
name: hi
port:
number: 5678
22
#
kubectl create -f ingress.yaml","question_30_img_1.png, answer_30_img_1.png",True
31,"Create a deployment as follows:
Name: nginx-random
Exposed via a service nginx-random
Ensure that the service & pod are accessible via their respective DNS records The
container(s) within any pod(s) running as a part of this deployment should use the nginx
Image Next, use the utility nslookup to look up the DNS records of the service & pod and
write the output to /opt/KUNW00601/service.dns and /opt/KUNW00601/pod.dns respectively.",23,question_31_img_1.png,True
32,"A Kubernetes worker node, named wk8s-node-0 is in state NotReady. Investigate why this is
the case, and perform any appropriate steps to bring the node to a Ready state, ensuring that
any changes are made permanent.
24
You can ssh to the failed node using:
[student@node-1] $ | ssh Wk8s-node-0
You can assume elevated privileges on the node with the following command:
[student@w8ks-node-0] $ | sudo -i",25,"question_32_img_1.png, question_32_img_2.png, question_32_img_3.png",True
33,"26
A Kubernetes worker node, named wk8s-node-0 is in state NotReady. Investigate why this is
the case, and perform any appropriate steps to bring the node to a Ready state, ensuring that
any changes are made permanent.","sudo -i
systemctl status kubelet
systemctl start kubelet
systemctl enable kubelet","question_33_img_1.png, question_33_img_2.png, question_33_img_3.png, question_33_img_4.png",True
34,Get list of all the pods showing name and namespace with a jsonpath expression.,"kubectl get pods -o=jsonpath=""{.items[*]['metadata.name'
, 'metadata.namespace']}""",,False
35,"27
Set the node named ek8s-node-1 as unavailable and reschedule all the pods running on it.","[student@node-1] > ssh ek8s
kubectl cordon ek8s-node-1
kubectl drain ek8s-node-1 --delete-local-data --ignore-daemonsets --force","question_35_img_1.png, answer_35_img_1.png",True
36,"Schedule a pod as follows:
Name: nginx-kusc00101
Image: nginx
Node selector: disk=ssd",28,,False
37,"29
You have been asked to create a new ClusterRole for a deployment pipeline and bind it to a
specific ServiceAccount scoped to a specific namespace.
Create a new ClusterRole named deployment-clusterrole, which only allows to create the
following resource types:
* Deployment
* StatefulSet
* DaemonSet
Create a new ServiceAccount named cicd-token in the existing namespace app-team1.
Bind the new ClusterRole deployment-clusterrole lo the new ServiceAccount cicd-token ,
limited to the namespace app-team1.","Task should be complete on node k8s -1 master, 2 worker for this connect use command
[student@node-1] > ssh k8s
kubectl create clusterrole deployment-clusterrole --verb=create --
resource=deployments,statefulsets,daemonsets kubectl create serviceaccount cicd-token --
namespace=app-team1 kubectl create rolebinding deployment-clusterrole --
clusterrole=deployment-clusterrole --serviceaccount=default:cicd-token --namespace=app-
team1","question_37_img_1.png, question_37_img_2.png, question_37_img_3.png",True
38,"Create a busybox pod and add ""sleep 3600"" command","kubectl run busybox --image=busybox --restart=Never -- /bin/sh -c
""sleep 3600""",,False
39,"Create a Kubernetes secret as follows:
Name: super-secret
password: bob
Create a pod named pod-secrets-via-file, using the redis Image, which mounts a secret
named super-secret at /secrets.
Create a second pod named pod-secrets-via-env, using the redis Image, which exports
password as CONFIDENTIAL
30",31,"answer_39_img_1.png, answer_39_img_2.png",True
40,"Perform the following s:
Add an init container to hungry-bear (which has been defined in spec file
/opt/KUCC00108/pod-spec-KUC C00108.yaml ) The init container should create an empty
file named /workdir/calm.txt If /workdir/calm.txt is not detected, the pod should exit Once the
spec file has been updated with the init container definition, the pod should be created",32,"question_40_img_1.png, answer_40_img_1.png",True
41,List all the pods sorted by name,kubectl get pods --sort-by=.metadata.name,"question_41_img_1.png, answer_41_img_1.png",True
42,Create a nginx pod with label env=test in engineering namespace,"kubectl run nginx --image=nginx --restart=Never --labels=env=test --namespace=engineering
--dry-run -o yaml > nginx-pod.yaml kubectl run nginx --image=nginx --restart=Never
--labels=env=test --namespace=engineering --dry-run -o yaml | kubectl create -n engineering
-f - YAML File:
apiVersion: v1
kind: Pod
metadata:
name: nginx
namespace: engineering
labels:
env: test
spec:
containers:
- name: nginx
image: nginx
imagePullPolicy: IfNotPresent
34
restartPolicy: Never
kubectl create -f nginx-pod.yaml",,False
43,Set the node named ek8s-node-1 as unavailable and reschedule all the pods running on it.,[답변이 제공되지 않음],answer_43_img_1.png,True
44,Check the Image version of nginx-dev pod using jsonpath,"kubect1 get po nginx-dev -o
jsonpath='{.spec.containers[].image}{""\n""}'",,False
45,"Ensure a single instance of pod nginx is running on each node of the Kubernetes cluster
where nginx also represents the Image name which has to be used. Do not override any
taints currently in place.
Use DaemonSet to complete this and use ds-kusc00201 as DaemonSet name.",35,answer_45_img_1.png,True
46,"37
Create a new NetworkPolicy named allow-port-from-namespace in the existing namespace
echo. Ensure that the new NetworkPolicy allows Pods in namespace my-app to connect to
port 9000 of Pods in namespace echo.
Further ensure that the new NetworkPolicy:
* does not allow access to Pods, which don't listen on port 9000
* does not allow access from Pods, which are not in namespace my-app","#network.yaml
apiVersion: networking.k8s.io/v1
kind: NetworkPolicy
metadata:
name: allow-port-from-namespace
namespace: internal
spec:
podSelector:
matchLabels: {
}
policyTypes:
- Ingress
ingress:
- from:
- podSelector: {
}
ports:
- protocol: TCP
port: 8080
#spec.podSelector namespace pod
kubectl create -f network.yaml","question_46_img_1.png, question_46_img_2.png, question_46_img_3.png, question_46_img_4.png",True
47,"38
Schedule a pod as follows:
* Name: nginx-kusc00401
* Image: nginx
* Node selector: disk=ssd","#yaml
apiVersion: v1
kind: Pod
metadata:
name: nginx-kusc00401
spec:
containers:
- name: nginx
image: nginx
imagePullPolicy: IfNotPresent
nodeSelector:
disk: spinning
#
kubectl create -f node-select.yaml",question_47_img_1.png,True
48,"Create a busybox pod that runs the command ""env"" and save the output to ""envpod"" file",kubectl run busybox --image=busybox --restart=Never --rm -it -- env > envpod.yaml,,False
49,"39
Create a pod named kucc8 with a single app container for each of the following images
running inside (there may be between 1 and 4 images specified): nginx + redis + memcached
.","kubectl run kucc8 --image=nginx --dry-run -o yaml > kucc8.yaml
# vi kucc8.yaml
apiVersion: v1
kind: Pod
metadata:
creationTimestamp: null
name: kucc8
spec:
containers:
- image: nginx
name: nginx
- image: redis
name: redis
- image: memcached
name: memcached
- image: consul
name: consul
#
kubectl create -f kucc8.yaml
#12.07",question_49_img_1.png,True
50,"Create a deployment as follows:
Name: nginx-app
Using container nginx with version 1.11.10-alpine
The deployment should contain 3 replicas
Next, deploy the application with new version 1.11.13-alpine, by performing a rolling update.
Finally, rollback that update to the previous version 1.11.10-alpine.",40,answer_50_img_1.png,True
51,"Create a namespace called 'development' and a pod with image nginx called nginx on this
namespace.","kubectl create namespace development
kubectl run nginx --image=nginx --restart=Never -n development","question_51_img_1.png, answer_51_img_1.png",True
52,List the nginx pod with custom columns POD_NAME and POD_STATUS,"kubectl get po -o=custom-columns=""POD_NAME:.metadata.name,
POD_STATUS:.status.containerStatuses[].state""",,False
53,Create a pod that having 3 containers in it? (Multi-Container),"image=nginx, image=redis, image=consul
Name nginx container as ""nginx-container""
Name redis container as ""redis-container""
Name consul container as ""consul-container""
Create a pod manifest file for a container and append container
section for rest of the images
kubectl run multi-container --generator=run-pod/v1 --image=nginx --
dry-run -o yaml > multi-container.yaml
42
# then
vim multi-container.yaml
apiVersion: v1
kind: Pod
metadata:
labels:
run: multi-container
name: multi-container
spec:
containers:
- image: nginx
name: nginx-container
- image: redis
name: redis-container
- image: consul
name: consul-container
restartPolicy: Always",,False
54,"For this item, you will have to ssh to the nodes ik8s-master-0 and ik8s-node-0 and complete
all s on these nodes. Ensure that you return to the base node (hostname: node-1) when
you have completed this item.
As an administrator of a small development team, you have been asked to set up a
Kubernetes cluster to test the viability of a new application.
You must use kubeadm to perform this . Any kubeadm invocations will require the
use of the --ignore-preflight-errors=all option.
Configure the node ik8s-master-O as a master node. .
Join the node ik8s-node-o to the cluster.","You must use the kubeadm configuration file located at /etc/kubeadm.conf when initializing
your cluster.
You may use any CNI plugin to complete this task, but if you don't have your favourite CNI
plugin's manifest URL at hand, Calico is one popular option:
https://docs.projectcalico.org/v3.14/manifests/calico.yaml Docker is already installed on both
nodes and apt has been configured so that you can install the required tools.",,False
55,"43
Create a persistent volume with name app-data , of capacity 1Gi and access mode
ReadOnlyMany. The type of volume is hostPath and its location is /srv/app-data .","#vi pv.yaml
apiVersion: v1
kind: PersistentVolume
metadata:
name: app-config
spec:
capacity:
storage: 1Gi
accessModes:
- ReadOnlyMany
hostPath:
path: /srv/app-config
#
kubectl create -f pv.yaml",question_55_img_1.png,True
56,"Check to see how many worker nodes are ready (not including nodes tainted NoSchedule)
and write the number to /opt/KUCC00104/kucc00104.txt.",44,,False
57,List all the pods showing name and namespace with a json path expression,"kubectl get pods -o=jsonpath=""{.items[*]['metadata.name',
45
'metadata.namespace']}""","question_57_img_1.png, answer_57_img_1.png",True
58,Scale the deployment webserver to 6 pods.,[답변이 제공되지 않음],,False
59,"Create a pod as follows:
Name: mongo
Using Image: mongo
In a new Kubernetes namespace named: my-website",46,question_59_img_1.png,True
60,"Configure the kubelet systemd- managed service, on the node labelled with name=wk8s
-node-1, to launch a pod containing a single container of Image httpd named webtool
automatically. Any spec files required should be placed in the /etc/kubernetes/manifests
directory on the node.
You can ssh to the appropriate node using:
[student@node-1] $ ssh wk8s-node-1
You can assume elevated privileges on the node with the following command:
[student@wk8s-node-1] $ | sudo -i",47,"question_60_img_1.png, answer_60_img_1.png, answer_60_img_2.png",True
61,"Create a new PersistentVolumeClaim
* Name: pv-volume
* Class: csi-hostpath-sc
* Capacity: 10Mi
Create a new Pod which mounts the PersistentVolumeClaim as a volume:
* Name: web-server
* Image: nginx
* Mount path: /usr/share/nginx/html
Configure the new Pod to have ReadWriteOnce access on the volume.
Finally, using kubectl edit or kubectl patch expand the PersistentVolumeClaim to a capacity
of 70Mi and record that change.","50
vi pvc.yaml
storageclass pvc
apiVersion: v1
kind: PersistentVolumeClaim
metadata:
name: pv-volume
spec:
accessModes:
- ReadWriteOnce
volumeMode: Filesystem
resources:
requests:
storage: 10Mi
storageClassName: csi-hostpath-sc
# vi pod-pvc.yaml
apiVersion: v1
kind: Pod
metadata:
name: web-server
spec:
containers:
- name: web-server
image: nginx
volumeMounts:
- mountPath: ""/usr/share/nginx/html""
name: my-volume
volumes:
- name: my-volume
persistentVolumeClaim:
claimName: pv-volume
# craete
kubectl create -f pod-pvc.yaml
#edit
kubectl edit pvc pv-volume --record","question_61_img_1.png, question_61_img_2.png, question_61_img_3.png, question_61_img_4.png",True
62,"51
An existing Pod needs to be integrated into the Kubernetes built-in logging architecture (e. g.
kubectl logs). Adding a streaming sidecar container is a good and common way to
accomplish this requirement.
Add a sidecar container named sidecar, using the busybox Image, to the existing Pod big-
corp-app. The new sidecar container has to run the following command:
/bin/sh -c tail -n+1 -f /va r/log/big-corp-app.log
Use a Volume, mounted at /var/log, to make the log file big-corp-app.log available to the
sidecar container.","#
kubectl get pod big-corp-app -o yaml
#
apiVersion: v1
kind: Pod
metadata:
name: big-corp-app
spec:
containers:
- name: big-corp-app
image: busybox
args:
- /bin/sh
- -c
- >
i=0;
while true;
52
do
echo ""$(date) INFO $i"" >> /var/log/big-corp-app.log;
i=$((i+1));
sleep 1;
done
volumeMounts:
- name: logs
mountPath: /var/log
- name: count-log-1
image: busybox
args: [/bin/sh, -c, 'tail -n+1 -f /var/log/big-corp-app.log']
volumeMounts:
- name: logs
mountPath: /var/log
volumes:
- name: logs
emptyDir: {
}
#
kubectl logs big-corp-app -c count-log-1","question_62_img_1.png, question_62_img_2.png",True
63,"Create and configure the service front-end-service so it's accessible through NodePort and
routes to the existing pod named front-end.",53,,False
64,"From the pod label name=cpu-utilizer, find pods running high CPU workloads and write the
name of the pod consuming most CPU to the file /opt/KUTR00102/KUTR00102.txt (which
already exists).",54,question_64_img_1.png,True
65,"Create a deployment spec file that will:
Launch 7 replicas of the nginx Image with the label app_runtime_stage=dev deployment
name: kual00201 Save a copy of this spec file to /opt/KUAL00201/spec_deployment.yaml (or
55
/opt/KUAL00201/spec_deployment.json).
When you are done, clean up (delete) any new Kubernetes API object that you produced
during this .",56,"question_65_img_1.png, question_65_img_2.png, question_65_img_3.png",True
66,"Create a pod that echo ""hello world"" and then exists. Have the pod deleted automatically
when it's completed","kubectl run busybox --image=busybox -it --rm --restart=Never --
/bin/sh -c 'echo hello world'
kubectl get po # You shouldn't see pod with the name ""busybox""",question_66_img_1.png,True
67,"Reconfigure the existing deployment front-end and add a port specification named http
exposing port 80/tcp of the existing container nginx.
Create a new service named front-end-svc exposing the container port http.
Configure the new service to also expose the individual Pods via a NodePort on the nodes on
which they are scheduled.
57","kubectl get deploy front-end
kubectl edit deploy front-end -o yaml
#port specification named http
#service.yaml
apiVersion: v1
kind: Service
metadata:
name: front-end-svc
labels:
app: nginx
spec:
ports:
- port: 80
protocol: tcp
name: http
selector:
app: nginx
type: NodePort
# kubectl create -f service.yaml
# kubectl get svc
# port specification named http
kubectl expose deployment front-end --name=front-end-svc --port=80 --tarport=80 --
type=NodePort",question_67_img_1.png,True
68,"Schedule a Pod as follows:
* Name: kucc1
* App Containers: 2
* Container Name/Images:
o nginx
o consul",58,"question_68_img_1.png, answer_68_img_1.png, answer_68_img_2.png, answer_68_img_3.png",True
